,CLIMBER,MYEAR,SEX,CITIZEN,SHERPA,DEATHNOTE
47888,Min Bahadur Sherchan,2017.0,M,Nepal,non-sherpa,Died of apparent heart attack
47890,Ravi Kumar,2017.0,M,India,non-sherpa,
48212,Francesco Enrico (Frank) Marchetti,2017.0,M,Australia,non-sherpa,Died from AMS and/or heart attack
48482,Georgi Petkov,2018.0,M,Macedonia,non-sherpa,
48619,Lama Babu Sherpa,2018.0,M,Nepal,sherpa,
48652,Damai Sarki Sherpa,2018.0,M,Nepal,sherpa,Fatal crevasse fall at C2
48967,Nobukazu Kuriki,2018.0,M,Japan,non-sherpa,
49071,Pasang Nuru Sherpa,2018.0,M,Nepal,sherpa,
49697,Robin Haynes Fisher,2019.0,M,UK,non-sherpa,
49741,Christopher Jon Kulish,2019.0,M,USA,non-sherpa,
49808,Ravi Thakur,2019.0,M,India,non-sherpa,
49839,Seamus Sean Lawless,2019.0,M,Ireland,non-sherpa,
49952,Kalpana Dash,2019.0,F,India,non-sherpa,
49975,Donald Lynn Cash,2019.0,M,USA,non-sherpa,
50023,Anjali Sharad Kulkarni,2019.0,F,India,non-sherpa,
50058,Nihal Ashpak Bagwan,2019.0,M,India,non-sherpa,
50071,Dhruba Bista,2019.0,M,Nepal,non-sherpa,
50245,Ernst Landgraf,2019.0,M,Austria,non-sherpa,
50415,Kevin Gerard Hynes,2019.0,M,Ireland,non-sherpa,
50805,Pemba Tashi Sherpa,2021.0,M,Nepal,sherpa,
50856,Wang Dorchi Sherpa,2021.0,M,Nepal,sherpa,
51049,Puwei Liu,2021.0,M,USA,non-sherpa,
51065,Abdul Waheed Waraich,2021.0,M,Switzerland,non-sherpa,
51149,Lhakpa Nuru Sherpa,2021.0,M,Nepal,sherpa,"Rescued from BC on 29 May, died on 3 June in Ktmdu from HAPE"
